County,2021,2022,2023
Franklin,"56,052","55,604","57,550"
Fulton,"49,839","50,152","52,342"
Gibson,"54,133","56,394","58,378"
Grant,"47,161","47,879","49,748"
Greene,"50,409","51,008","52,586"
Hamilton,"90,099","94,226","99,456"
Hancock,"59,257","63,189","65,651"
Harrison,"52,928","55,121","57,403"
Hendricks,"57,822","59,482","62,305"
Henry,"46,170","47,137","48,320"
Howard,"47,533","47,992","50,368"
Huntington,"50,551","51,055","52,450"
Jackson,"48,535","50,212","51,461"
Jasper,"56,459","58,430","60,384"
Jay,"49,315","55,447","53,566"
Jefferson,"50,437","52,647","54,925"
Jennings,"49,102","50,398","51,768"
Johnson,"57,329","59,409","61,983"
Knox,"54,422","54,513","56,279"
Kosciusko,"56,829","58,295","59,499"
Lagrange,"53,108","54,765","53,984"
Lake,"52,680","53,708","56,172"
LaPorte,"49,173","50,903","53,144"
Lawrence,"51,688","52,404","54,421"
Madison,"46,623","46,947","48,479"
Marion,"66,777","68,618","70,999"
Marshall,"51,723","53,551","53,579"
Martin,"50,172","53,117","53,113"
Miami,"40,974","41,093","42,691"
Monroe,"52,735","54,799","57,379"
Montgomery,"49,440","50,405","51,959"
Morgan,"52,434","54,660","56,426"
Newton,"51,625","53,051","53,359"
Noble,"49,008","51,131","52,042"
Ohio,"54,761","52,119","55,398"
Orange,"44,461","46,212","47,330"
Owen,"49,602","50,145","51,946"
Parke,"48,914","50,037","53,000"
Perry,"44,466","45,081","46,830"
Pike,"47,688","48,871","50,515"
Porter,"61,319","63,618","66,906"
Posey,"58,445","59,186","61,689"
Pulaski,"54,445","56,247","59,327"
Putnam,"46,569","46,980","48,687"
Randolph,"51,237","53,229","55,009"
Ripley,"50,932","51,260","52,541"
Rush,"55,344","55,582","58,058"
St. Joseph,"55,687","56,651","56,895"
Scott,"44,771","45,123","46,902"
Shelby,"51,593","53,589","55,484"
Spencer,"54,039","54,494","56,258"
Starke,"42,270","42,512","44,313"
Steuben,"53,688","54,853","56,713"
Sullivan,"43,563","44,047","45,407"
Switzerland,"42,354","42,515","43,212"
Tippecanoe,"46,411","47,590","50,492"
Tipton,"52,042","50,830","53,169"
Union,"49,079","49,708","51,547"
Vanderburgh,"55,630","56,939","59,500"
Vermillion,"46,838","46,749","48,525"
Vigo,"45,899","46,633","48,802"
Wabash,"51,915","53,621","56,584"
Warren,"53,719","54,472","56,648"
Warrick,"66,696","67,864","71,369"
Washington,"47,929","50,302","51,198"
Wayne,"49,359","50,069","52,493"
Wells,"51,603","52,094","53,280"
White,"52,285","54,034","56,248"
Whitley,"53,955","55,818","57,565"


Adair,"65,289","68,566","69,294"
Adams,"65,237","66,764","64,379"
Allamakee,"53,586","56,499","55,377"
Appanoose,"47,503","47,346","48,205"
Audubon,"65,593","72,093","64,517"
Benton,"63,532","70,159","70,193"
Black Hawk,"52,428","53,556","55,529"
Boone,"53,575","55,212","55,664"
Bremer,"57,647","60,274","61,420"
Buchanan,"57,875","62,510","61,848"
Buena Vista,"49,758","55,272","53,369"
Butler,"57,680","61,985","60,549"
Calhoun,"59,794","66,232","60,792"
Carroll,"60,922","68,120","65,159"
Cass,"56,939","61,055","61,849"
Cedar,"63,448","68,431","66,315"
Cerro Gordo,"61,367","76,392","79,493"
Cherokee,"68,605","96,180","95,566"
Chickasaw,"73,649","104,106","106,632"
Clarke,"46,014","49,568","50,014"
Clay,"60,565","63,043","62,951"
Clayton,"61,217","66,736","65,588"
Clinton,"51,663","52,665","53,442"
Crawford,"53,451","56,479","54,564"
Dallas,"77,678","79,458","84,495"
Davis,"46,468","56,644","56,856"
Decatur,"44,270","45,471","44,361"
Delaware,"57,991","62,780","60,775"
Des Moines,"58,440","57,639","58,928"
Dickinson,"71,737","76,947","79,429"
Dubuque,"57,897","61,190","63,435"
Emmet,"51,681","55,092","51,744"
Fayette,"51,054","54,075","53,333"
Floyd,"56,298","61,760","60,794"
Franklin,"62,401","68,268","63,224"
Fremont,"61,753","61,228","60,566"
Greene,"60,743","62,803","59,822"
Grundy,"62,820","66,588","65,012"
Guthrie,"66,402","69,708","68,446"
Hamilton,"59,696","67,048","60,409"
Hancock,"62,208","69,616","63,316"
Hardin,"63,004","78,029","77,229"
Harrison,"55,951","60,019","59,741"
Henry,"49,674","51,250","52,183"
Howard,"60,683","65,748","63,532"
Humboldt,"57,394","61,407","59,055"
Ida,"69,571","75,355","76,071"
Iowa,"60,453","61,878","61,176"
Jackson,"53,959","56,366","56,935"
Jasper,"50,298","51,516","52,040"
Jefferson,"53,205","56,925","57,961"
Johnson,"60,804","60,955","63,487"
Jones,"52,330","55,208","55,571"
Keokuk,"54,951","57,845","56,070"
Kossuth,"63,718","69,530","63,562"
Lee,"49,351","50,810","52,269"
Linn,"59,596","61,084","63,407"
Louisa,"52,321","55,214","53,254"
Lucas,"48,649","49,656","49,937"
Lyon,"66,958","75,542","68,302"
Madison,"57,455","59,846","61,924"
Mahaska,"50,504","53,650","55,210"
Marion,"57,928","60,612","64,302"
Marshall,"49,988","49,455","49,357"
Mills,"67,296","68,230","69,748"
Mitchell,"76,128","105,789","110,907"
Monona,"57,815","61,462","60,126"
Monroe,"54,539","55,747","58,282"
Montgomery,"49,210","51,087","50,995"
Muscatine,"53,477","55,732","57,595"
O'Brien,"61,842","67,259","63,799"
Osceola,"58,317","66,914","60,171"
Page,"52,299","54,012","54,431"
Palo Alto,"58,688","68,424","59,206"
Plymouth,"63,293","69,807","66,979"
Pocahontas,"60,828","66,818","56,936"
Polk,"61,681","63,921","66,761"
Pottawattamie,"51,488","56,136","58,306"
Poweshiek,"53,015","56,969","56,638"
Ringgold,"59,074","59,232","54,984"
Sac,"69,161","81,621","75,597"
Scott,"61,414","63,291","66,748"
Shelby,"64,218","66,618","64,704"
Sioux,"59,820","70,254","67,668"
Story,"48,274","53,852","55,798"
Tama,"56,922","58,228","56,041"
Taylor,"56,566","58,744","54,697"
Union,"49,432","50,731","50,034"
Van Buren,"48,005","50,612","48,677"
Wapello,"45,266","46,471","47,419"
Warren,"59,382","61,957","64,502"
Washington,"72,335","82,598","80,062"
Wayne,"52,800","55,199","53,428"
Webster,"51,436","53,727","53,213"
Winnebago,"52,059","56,529","53,158"
Winneshiek,"59,115","61,918","62,049"
Woodbury,"49,952","52,027","53,685"
Worth,"54,434","57,455","56,008"
Wright,"58,510","73,273","68,410"


Allen,"49,894","47,551","50,687"
Anderson,"54,609","50,793","54,518"
Atchison,"44,687","43,801","45,739"
Barber,"54,598","54,641","59,643"
Barton,"53,256","56,098","59,485"
Bourbon,"48,278","46,786","49,298"
Brown,"53,575","51,909","54,718"
Butler,"52,533","54,333","57,748"
Chase,"63,474","59,756","66,523"
Chautauqua,"44,323","43,532","47,835"
Cherokee,"52,249","55,078","55,543"
Cheyenne,"66,106","62,337","64,275"
Clark,"57,440","54,804","60,744"
Clay,"53,744","49,472","53,949"
Cloud,"48,212","46,390","53,067"
Coffey,"60,101","56,828","58,337"
Comanche,"50,669","50,462","60,615"
Cowley,"44,481","44,614","47,207"
Crawford,"45,652","45,296","47,790"
Decatur,"58,312","70,536","65,912"
Dickinson,"49,656","48,692","51,568"
Doniphan,"53,365","49,426","51,625"
Douglas,"52,025","53,670","56,846"
Edwards,"70,145","65,417","74,594"
Elk,"44,284","41,811","47,572"
Ellis,"54,688","54,959","58,661"
Ellsworth,"48,860","47,279","52,060"
Finney,"49,542","50,560","52,953"
Ford,"47,406","47,691","48,219"
Franklin,"49,764","49,388","51,709"
Geary,"51,004","51,854","53,932"
Gove,"82,666","87,882","93,617"
Graham,"61,644","61,338","72,489"
Grant,"46,986","42,459","55,067"
Gray,"68,700","66,596","75,419"
Greeley,"106,644","108,427","104,174"
Greenwood,"48,146","47,145","53,469"
Hamilton,"73,212","94,381","96,996"
Harper,"61,286","59,689","64,601"
Harvey,"50,546","51,355","54,695"
Haskell,"75,381","68,184","86,892"
Hodgeman,"69,393","63,137","74,269"
Jackson,"50,474","49,905","53,147"
Jefferson,"53,775","54,538","58,042"
Jewell,"62,322","52,667","68,978"
Johnson,"83,568","97,232","102,693"
Kearny,"63,530","60,628","69,427"
Kingman,"53,009","53,651","59,356"
Kiowa,"57,520","49,389","56,167"
Labette,"48,283","49,938","51,806"
Lane,"84,214","83,104","98,681"
Leavenworth,"49,454","50,913","53,757"
Lincoln,"52,843","49,550","57,773"
Linn,"47,647","48,058","50,711"
Logan,"66,174","67,223","69,978"
Lyon,"46,905","47,375","49,529"
McPherson,"57,654","59,531","64,594"
Marion,"49,141","47,475","52,183"
Marshall,"50,941","47,286","50,960"
Meade,"78,101","67,180","75,656"
Miami,"58,539","60,711","63,817"
Mitchell,"68,952","66,214","78,857"
Montgomery,"43,541","44,313","46,735"
Morris,"52,214","50,562","56,022"
Morton,"58,125","52,045","61,783"
Nemaha,"63,047","66,355","71,607"
Neosho,"47,197","47,092","50,698"
Ness,"68,609","66,301","77,970"
Norton,"53,669","55,825","61,506"
Osage,"50,137","50,097","53,431"
Osborne,"57,251","54,168","66,994"
Ottawa,"52,208","51,593","55,673"
Pawnee,"50,432","45,586","51,405"
Phillips,"67,849","63,040","71,198"
Pottawatomie,"61,144","60,979","65,218"
Pratt,"56,776","55,860","60,341"
Rawlins,"80,847","87,810","75,897"
Reno,"47,704","48,046","51,423"
Republic,"53,515","48,236","54,892"
Rice,"50,023","49,597","55,134"
Riley,"49,004","51,104","53,971"
Rooks,"49,725","46,621","55,630"
Rush,"63,641","55,951","66,255"
Russell,"54,616","54,213","59,870"
Saline,"55,403","57,343","60,591"
Scott,"64,538","61,900","68,367"
Sedgwick,"57,818","58,289","61,462"
Seward,"46,431","46,726","47,846"
Shawnee,"54,083","55,071","58,412"
Sheridan,"59,552","58,369","64,147"
Sherman,"55,717","55,309","57,304"
Smith,"64,180","58,492","67,860"
Stafford,"52,564","52,079","60,316"
Stanton,"92,313","86,798","91,580"
Stevens,"56,258","51,714","57,057"
Sumner,"48,034","48,291","51,274"
Thomas,"55,264","57,092","60,027"
Trego,"60,656","61,361","70,367"
Wabaunsee,"57,296","56,344","60,700"
Wallace,"65,348","63,287","59,710"
Washington,"56,307","50,260","55,727"
Wichita,"61,068","56,752","66,361"
Wilson,"49,735","48,633","52,380"
Woodson,"45,685","44,538","49,343"
Wyandotte,"38,614","39,880","41,273"


Adair,"41,156","41,624","43,430"
Allen,"41,536","40,990","41,417"
Anderson,"45,527","45,951","48,357"
Ballard,"50,528","52,056","54,570"
Barren,"43,495","43,145","44,502"
Bath,"38,121","38,581","40,141"
Bell,"40,573","39,680","42,353"
Boone,"57,374","59,091","62,066"
Bourbon,"55,952","58,544","60,106"
Boyd,"46,154","45,860","49,074"
Boyle,"45,325","46,949","49,125"
Bracken,"45,606","44,813","46,473"
Breathitt,"39,020","39,280","42,633"
Breckinridge,"43,143","41,491","42,080"
Bullitt,"50,614","51,569","54,121"
Butler,"44,198","43,552","44,967"
Caldwell,"45,190","44,398","45,883"
Calloway,"44,329","43,812","45,760"
Campbell,"59,848","63,196","66,222"
Carlisle,"54,660","56,221","57,656"
Carroll,"45,629","47,124","48,948"
Carter,"39,255","38,950","40,853"
Casey,"40,521","40,325","42,262"
Christian,"44,884","45,421","46,804"
Clark,"48,032","48,727","51,148"
Clay,"38,970","38,265","40,899"
Clinton,"43,976","44,344","44,343"
Crittenden,"42,663","42,302","44,336"
Cumberland,"50,564","51,076","54,202"
Daviess,"49,689","50,186","52,446"
Edmonson,"40,459","40,491","41,551"
Elliott,"28,751","27,678","29,689"
Estill,"40,190","40,269","42,324"
Fayette,"60,386","61,972","65,766"
Fleming,"41,373","41,425","42,128"
Floyd,"43,342","42,986","45,540"
Franklin,"49,495","49,847","52,606"
Fulton,"42,135","42,368","43,619"
Gallatin,"44,222","44,174","45,611"
Garrard,"44,195","44,079","46,035"
Grant,"46,119","45,827","47,749"
Graves,"48,388","50,548","51,262"
Grayson,"42,107","42,159","43,794"
Green,"42,974","42,241","43,751"
Greenup,"47,502","47,838","50,917"
Hancock,"50,306","60,439","64,129"
Hardin,"52,376","53,562","56,117"
Harlan,"38,206","37,910","40,111"
Harrison,"44,179","43,362","44,682"
Hart,"41,222","42,335","44,753"
Henderson,"49,868","53,191","55,562"
Henry,"49,616","50,133","52,499"
Hickman,"54,394","59,031","54,753"
Hopkins,"46,187","47,331","49,158"
Jackson,"38,299","37,510","39,236"
Jefferson,"62,666","64,198","67,663"
Jessamine,"56,900","58,494","61,703"
Johnson,"39,580","39,143","41,188"
Kenton,"68,773","69,568","73,345"
Knott,"41,216","41,732","44,273"
Knox,"38,688","37,330","39,065"
Larue,"44,476","42,450","43,899"
Laurel,"41,320","40,659","42,337"
Lawrence,"38,148","38,464","41,198"
Lee,"34,946","34,304","36,462"
Leslie,"39,574","39,352","41,877"
Letcher,"39,667","39,824","42,346"
Lewis,"40,142","39,658","41,161"
Lincoln,"40,422","40,770","41,970"
Livingston,"46,545","46,106","49,169"
Logan,"45,645","45,655","47,354"
Lyon,"42,555","41,599","44,255"
McCracken,"59,177","60,868","64,990"
McCreary,"35,655","33,934","35,036"
McLean,"49,522","52,720","49,877"
Madison,"44,175","45,296","48,025"
Magoffin,"42,399","41,842","44,371"
Marion,"44,325","44,681","46,832"
Marshall,"47,888","49,072","52,573"
Martin,"32,922","31,935","33,523"
Mason,"49,333","49,007","51,314"
Meade,"47,487","48,032","49,710"
Menifee,"41,400","40,862","42,933"
Mercer,"43,470","45,108","46,920"
Metcalfe,"38,240","37,519","38,441"
Monroe,"44,252","44,675","44,980"
Montgomery,"42,840","43,623","45,753"
Morgan,"33,898","32,223","34,380"
Muhlenberg,"40,542","40,575","42,598"
Nelson,"52,851","53,925","56,564"
Nicholas,"40,735","39,213","41,289"
Ohio,"39,784","41,411","41,556"
Oldham,"76,306","78,161","82,531"
Owen,"40,427","39,836","41,220"
Owsley,"46,298","46,988","49,867"
Pendleton,"47,639","46,545","48,191"
Perry,"43,293","43,542","46,219"
Pike,"42,989","44,003","46,272"
Powell,"37,836","38,687","40,504"
Pulaski,"46,799","47,051","49,580"
Robertson,"41,446","41,149","41,010"
Rockcastle,"40,510","40,228","42,505"
Rowan,"37,818","38,267","40,762"
Russell,"47,774","54,459","57,716"
Scott,"52,100","53,908","56,801"
Shelby,"55,676","58,344","61,248"
Simpson,"44,668","45,096","46,907"
Spencer,"54,769","56,042","59,165"
Taylor,"41,339","40,546","42,772"
Todd,"47,581","50,411","50,116"
Trigg,"46,975","46,598","48,027"
Trimble,"48,159","47,799","49,796"
Union,"50,410","49,465","53,319"
Warren,"44,936","45,971","48,546"
Washington,"46,533","45,614","47,570"
Wayne,"38,284","37,285","37,963"
Webster,"47,751","51,223","51,507"
Whitley,"43,132","42,285","44,924"
Wolfe,"45,027","44,869","48,386"
Woodford,"60,340","63,536","65,575"


Acadia,"46,407","46,497","48,445"
Allen,"42,823","43,378","44,650"
Ascension,"59,598","59,878","63,811"
Assumption,"57,774","58,410","63,846"
Avoyelles,"45,224","45,378","48,298"
Beauregard,"50,417","50,633","52,717"
Bienville,"45,667","45,092","48,274"
Bossier,"52,233","53,561","56,326"
Caddo,"57,982","61,176","64,383"
Calcasieu,"51,452","52,458","54,129"
Caldwell,"41,605","39,954","42,350"
Cameron,"64,179","64,713","65,580"
Catahoula,"44,478","44,212","47,040"
Claiborne,"42,984","42,819","44,286"
Concordia,"42,602","43,247","44,999"
De Soto,"51,324","54,819","57,251"
East Baton Rouge,"60,165","62,921","66,726"
East Carroll,"39,292","35,335","35,475"
East Feliciana,"47,397","47,167","50,032"
Evangeline,"40,822","40,609","43,355"
Franklin,"40,633","39,627","42,154"
Grant,"37,458","38,396","39,914"
Iberia,"46,932","46,979","49,213"
Iberville,"53,631","53,008","55,730"
Jackson,"42,344","42,687","44,759"
Jefferson,"60,836","59,743","63,448"
Jefferson Davis,"46,977","46,922","48,106"
Lafayette,"60,204","62,448","66,179"
Lafourche,"52,145","53,243","57,643"
LaSalle,"38,078","38,318","40,622"
Lincoln,"46,621","48,770","50,986"
Livingston,"48,676","49,237","52,193"
Madison,"43,911","42,135","44,624"
Morehouse,"43,874","42,981","45,316"
Natchitoches,"48,818","48,999","52,510"
Orleans,"62,260","63,419","67,403"
Ouachita,"46,896","47,304","49,818"
Plaquemines,"56,383","56,399","58,920"
Pointe Coupee,"59,252","57,627","60,708"
Rapides,"53,624","53,892","56,169"
Red River,"52,786","55,921","59,240"
Richland,"44,876","45,022","47,254"
Sabine,"44,949","47,256","48,715"
St. Bernard,"42,912","41,751","43,959"
St. Charles,"56,943","57,578","60,180"
St. Helena,"47,755","46,983","48,813"
St. James,"70,103","66,288","70,185"
St. John the Baptist,"46,416","46,279","47,598"
St. Landry,"48,094","46,680","48,881"
St. Martin,"46,428","46,472","48,737"
St. Mary,"48,810","48,526","51,224"
St. Tammany,"74,105","74,194","78,246"
Tangipahoa,"47,871","47,688","50,875"
Tensas,"52,067","48,524","49,739"
Terrebonne,"48,164","50,163","53,834"
Union,"47,311","48,695","49,698"
Vermilion,"47,342","47,440","49,563"
Vernon,"47,998","48,984","50,611"
Washington,"41,826","42,127","44,615"
Webster,"49,736","51,322","54,025"
West Baton Rouge,"55,286","53,876","57,094"
West Carroll,"43,428","42,307","44,689"
West Feliciana,"44,614","44,728","47,362"
Winn,"46,865","46,983","49,490"


Androscoggin,"48,420","51,087","53,731"
Aroostook,"50,111","51,569","53,650"
Cumberland,"75,482","79,470","84,606"
Franklin,"46,143","48,019","50,394"
Hancock,"61,646","64,318","68,181"
Kennebec,"54,441","55,562","58,278"
Knox,"61,880","63,588","67,794"
Lincoln,"59,711","62,790","66,465"
Oxford,"46,207","47,860","50,165"
Penobscot,"50,983","52,179","53,978"
Piscataquis,"49,522","52,921","54,776"
Sagadahoc,"60,311","62,884","67,538"
Somerset,"47,066","48,117","50,486"
Waldo,"52,342","55,176","56,702"
Washington,"49,899","49,799","52,366"
York,"63,206","66,533","70,640"


Allegany,"47,462","46,913","49,182"
Anne Arundel,"77,764","79,335","84,019"
Baltimore,"67,143","70,461","74,738"
Calvert,"68,843","71,427","76,018"
Caroline,"54,180","56,902","56,447"
Carroll,"69,623","70,695","74,895"
Cecil,"55,614","56,261","59,373"
Charles,"62,048","63,063","66,642"
Dorchester,"55,579","55,896","57,060"
Frederick,"69,770","71,670","76,664"
Garrett,"53,377","53,861","57,525"
Harford,"66,466","67,325","71,196"
Howard,"86,486","90,055","95,529"
Kent,"69,328","72,498","77,025"
Montgomery,"90,696","94,474","100,044"
Prince George's,"53,353","54,605","57,096"
Queen Anne's,"77,455","79,258","83,650"
St. Mary's,"64,999","66,497","70,353"
Somerset,"36,982","40,018","37,345"
Talbot,"84,902","91,670","98,166"
Washington,"53,079","53,502","56,174"
Wicomico,"46,638","47,904","48,596"
Worcester,"64,317","66,552","68,163"
Baltimore City,"58,764","60,799","64,357"


Barnstable,"84,248","86,325","92,417"
Berkshire,"64,927","66,336","70,945"
Bristol,"64,266","64,506","67,109"
Dukes,"86,093","90,468","98,605"
Essex,"78,509","80,141","84,017"
Franklin,"63,178","63,534","67,327"
Hampden,"61,159","61,085","64,105"
Hampshire,"59,520","60,358","63,544"
Middlesex,"100,012","103,403","108,773"
Nantucket,"102,641","111,172","120,333"
Norfolk,"104,541","109,491","115,585"
Plymouth,"79,137","80,798","84,693"
Suffolk,"98,360","101,853","107,027"
Worcester,"64,661","66,535","69,301"


Alcona,"49,918","48,458","50,791"
Alger,"42,037","41,864","44,619"
Allegan,"54,528","55,197","58,048"
Alpena,"48,642","48,775","51,634"
Antrim,"56,671","55,896","59,391"
Arenac,"47,731","46,681","49,129"
Baraga,"41,530","40,828","43,301"
Barry,"53,340","56,941","59,401"
Bay,"50,581","49,936","52,579"
Benzie,"54,637","56,631","60,458"
Berrien,"60,474","60,359","61,127"
Branch,"43,269","43,860","44,833"
Calhoun,"45,745","46,210","47,947"
Cass,"55,014","57,076","57,612"
Charlevoix,"65,103","67,194","71,589"
Cheboygan,"49,253","47,798","50,689"
Chippewa,"43,893","43,526","46,492"
Clare,"41,430","41,217","43,823"
Clinton,"55,957","57,213","60,589"
Crawford,"43,520","41,405","43,627"
Delta,"46,521","45,309","47,667"
Dickinson,"56,185","54,389","57,116"
Eaton,"50,975","51,308","54,197"
Emmet,"68,983","70,447","75,812"
Genesee,"48,331","48,700","52,520"
Gladwin,"44,324","44,224","46,537"
Gogebic,"48,526","48,487","51,349"
Grand Traverse,"60,869","63,420","67,800"
Gratiot,"44,174","44,050","45,517"
Hillsdale,"42,909","42,800","44,820"
Houghton,"43,289","43,112","45,077"
Huron,"57,092","56,721","61,320"
Ingham,"51,882","50,148","52,560"
Ionia,"41,024","41,076","43,547"
Iosco,"46,589","46,390","48,318"
Iron,"48,899","47,919","50,425"
Isabella,"45,812","45,600","48,011"
Jackson,"47,084","46,541","48,818"
Kalamazoo,"59,196","60,902","63,668"
Kalkaska,"43,478","43,591","45,992"
Kent,"65,889","67,555","70,662"
Keweenaw,"57,947","56,295","60,716"
Lake,"39,033","36,440","38,030"
Lapeer,"51,031","50,887","53,743"
Leelanau,"79,823","79,929","85,936"
Lenawee,"47,735","48,611","51,391"
Livingston,"67,363","68,642","73,173"
Luce,"38,932","36,001","36,921"
Mackinac,"53,305","53,373","58,255"
Macomb,"53,857","55,618","58,565"
Manistee,"46,211","46,124","48,967"
Marquette,"48,207","46,796","49,300"
Mason,"48,622","47,967","50,216"
Mecosta,"44,319","42,745","45,437"
Menominee,"48,400","48,159","50,410"
Midland,"60,417","60,467","64,106"
Missaukee,"44,514","43,425","45,640"
Monroe,"52,860","56,960","59,956"
Montcalm,"41,316","41,204","42,499"
Montmorency,"43,708","42,048","44,409"
Muskegon,"46,526","47,460","49,244"
Newaygo,"44,846","44,584","46,317"
Oakland,"82,181","85,430","90,781"
Oceana,"46,335","46,187","48,691"
Ogemaw,"42,497","41,046","42,668"
Ontonagon,"47,232","46,483","49,622"
Osceola,"45,327","47,211","49,882"
Oscoda,"41,166","44,672","46,389"
Otsego,"49,764","48,325","51,685"
Ottawa,"59,487","60,175","63,265"
Presque Isle,"47,308","46,648","50,126"
Roscommon,"45,363","43,878","47,034"
Saginaw,"48,903","48,088","50,278"
St. Clair,"52,602","52,840","55,834"
St. Joseph,"47,451","47,887","49,695"
Sanilac,"47,223","47,422","50,153"
Schoolcraft,"47,884","45,342","48,919"
Shiawassee,"47,845","47,985","50,443"
Tuscola,"44,793","44,635","47,501"
Van Buren,"49,787","50,303","52,427"
Washtenaw,"70,844","72,867","77,537"
Wayne,"49,222","50,241","52,727"
Wexford,"44,916","44,128","45,996"


Aitkin,"50,679","48,988","51,695"
Anoka,"59,224","60,475","62,935"
Becker,"56,646","57,543","60,360"
Beltrami,"51,259","51,096","53,382"
Benton,"53,727","54,786","56,137"
Big Stone,"66,269","69,691","66,381"
Blue Earth,"52,600","53,944","55,016"
Brown,"62,731","62,888","64,232"
Carlton,"50,181","50,718","52,392"
Carver,"83,389","88,416","93,242"
Cass,"58,091","55,263","57,880"
Chippewa,"54,373","56,746","56,174"
Chisago,"58,126","59,718","62,286"
Clay,"51,042","52,826","53,925"
Clearwater,"55,724","52,584","54,531"
Cook,"59,118","59,682","65,513"
Cottonwood,"58,998","63,522","59,882"
Crow Wing,"55,059","54,288","56,919"
Dakota,"68,118","71,825","75,019"
Dodge,"58,592","59,882","60,718"
Douglas,"61,686","63,755","65,827"
Faribault,"54,452","57,441","55,356"
Fillmore,"54,454","55,917","56,844"
Freeborn,"54,489","55,432","56,100"
Goodhue,"61,436","64,091","65,921"
Grant,"58,331","63,623","58,301"
Hennepin,"87,334","91,394","95,574"
Houston,"58,731","61,501","63,545"
Hubbard,"60,337","54,831","57,515"
Isanti,"52,387","53,032","55,537"
Itasca,"52,777","52,461","54,574"
Jackson,"62,623","64,625","61,129"
Kanabec,"51,807","50,207","51,455"
Kandiyohi,"58,331","60,970","61,664"
Kittson,"67,243","71,331","64,925"
Koochiching,"50,798","53,118","55,115"
Lac qui Parle,"64,616","70,511","66,536"
Lake,"53,892","54,668","57,668"
Lake of the Woods,"60,525","60,115","64,010"
Le Sueur,"60,043","61,581","63,719"
Lincoln,"57,745","63,200","60,182"
Lyon,"58,785","61,858","61,228"
McLeod,"57,410","59,748","61,496"
Mahnomen,"48,480","49,659","48,138"
Marshall,"73,267","79,648","72,481"
Martin,"62,121","64,817","60,933"
Meeker,"53,276","55,954","56,379"
Mille Lacs,"51,618","51,122","53,553"
Morrison,"51,042","53,322","53,069"
Mower,"54,948","55,260","56,722"
Murray,"64,368","71,666","67,663"
Nicollet,"56,937","59,395","60,524"
Nobles,"54,936","59,894","57,743"
Norman,"59,901","62,035","53,560"
Olmsted,"66,191","68,543","71,904"
Otter Tail,"56,504","58,125","59,478"
Pennington,"71,064","67,174","68,190"
Pine,"45,799","45,247","46,122"
Pipestone,"64,666","71,416","69,853"
Polk,"59,456","61,324","60,175"
Pope,"64,160","64,102","63,885"
Ramsey,"64,217","66,416","69,310"
Red Lake,"68,882","72,843","67,464"
Redwood,"71,023","76,039","76,945"
Renville,"63,249","67,051","62,855"
Rice,"53,012","53,861","55,702"
Rock,"58,351","65,026","61,899"
Roseau,"61,114","61,874","61,800"
St. Louis,"55,878","56,784","59,235"
Scott,"72,190","77,009","81,213"
Sherburne,"56,184","57,148","59,643"
Sibley,"58,374","61,093","60,166"
Stearns,"58,804","60,989","63,053"
Steele,"55,861","56,395","58,222"
Stevens,"61,080","65,261","57,718"
Swift,"59,979","70,737","69,348"
Todd,"55,544","59,131","62,276"
Traverse,"76,840","91,098","82,905"
Wabasha,"59,947","61,053","62,412"
Wadena,"47,650","48,227","49,621"
Waseca,"54,229","59,835","60,130"
Washington,"76,885","79,494","84,018"
Watonwan,"55,954","58,251","55,976"
Wilkin,"68,418","75,771","74,577"
Winona,"57,991","57,442","58,318"
Wright,"60,727","62,263","65,241"
Yellow Medicine,"65,712","72,957","71,912"


Adams,"46,018","43,763","45,973"
Alcorn,"44,564","44,838","47,651"
Amite,"38,849","39,677","42,205"
Attala,"43,268","40,948","42,656"
Benton,"42,696","41,656","45,081"
Bolivar,"48,333","47,141","51,015"
Calhoun,"43,094","40,976","42,728"
Carroll,"45,568","43,280","45,400"
Chickasaw,"42,560","39,303","39,952"
Choctaw,"41,521","40,350","42,655"
Claiborne,"37,863","36,563","38,756"
Clarke,"43,336","43,977","46,428"
Clay,"48,828","48,588","51,599"
Coahoma,"46,198","45,494","47,742"
Copiah,"39,747","40,099","42,003"
Covington,"44,498","47,546","47,970"
DeSoto,"52,130","53,228","56,470"
Forrest,"44,064","43,111","45,405"
Franklin,"41,053","40,858","42,359"
George,"39,825","39,624","41,804"
Greene,"33,505","33,883","34,362"
Grenada,"43,450","42,405","44,304"
Hancock,"45,007","45,554","48,425"
Harrison,"46,491","45,966","48,902"
Hinds,"47,455","48,559","51,350"
Holmes,"37,311","35,690","38,193"
Humphreys,"43,856","41,320","43,876"
Issaquena,"37,134","33,862","36,046"
Itawamba,"41,930","41,166","42,737"
Jackson,"45,976","45,432","48,028"
Jasper,"45,460","47,049","45,999"
Jefferson,"39,827","39,648","41,876"
Jefferson Davis,"36,895","37,986","40,428"
Jones,"44,858","48,221","49,765"
Kemper,"38,601","37,428","39,625"
Lafayette,"49,445","49,944","52,791"
Lamar,"48,416","49,684","51,997"
Lauderdale,"47,312","47,519","50,952"
Lawrence,"43,288","44,957","45,871"
Leake,"40,423","42,401","41,066"
Lee,"52,704","52,029","54,255"
Leflore,"50,269","49,155","51,319"
Lincoln,"44,550","45,492","47,781"
Lowndes,"47,971","48,298","51,172"
Madison,"77,637","80,692","86,331"
Marion,"41,242","40,825","42,902"
Marshall,"44,871","44,357","46,470"
