County,2021,2022,2023
Miller,"40,940","40,710","42,293"
Mississippi,"45,419","45,175","47,237"
Monroe,"42,738","42,766","45,511"
Montgomery,"38,258","39,259","40,367"
Nevada,"39,520","41,155","39,904"
Newton,"39,416","38,692","39,704"
Ouachita,"47,200","48,863","51,167"
Perry,"44,206","46,682","47,868"
Phillips,"46,103","45,580","46,576"
Pike,"40,945","43,077","42,381"
Poinsett,"43,038","44,827","46,750"
Polk,"38,223","40,970","39,863"
Pope,"41,611","42,596","43,838"
Prairie,"44,518","45,200","49,123"
Pulaski,"60,866","62,244","65,851"
Randolph,"40,480","41,323","41,112"
St. Francis,"36,737","36,624","37,401"
Saline,"51,493","51,944","54,851"
Scott,"39,341","41,143","38,982"
Searcy,"35,386","33,890","35,719"
Sebastian,"48,400","48,589","50,348"
Sevier,"42,258","45,766","42,946"
Sharp,"41,580","44,259","43,491"
Stone,"38,457","37,771","39,075"
Union,"51,839","53,759","56,838"
Van Buren,"39,297","39,623","41,926"
Washington,"49,529","50,623","51,797"
White,"43,808","44,544","46,269"
Woodruff,"50,233","51,621","57,492"
Yell,"42,402","45,795","44,170"


Alameda,"98,370","100,836","106,657"
Alpine,"72,843","67,603","75,395"
Amador,"49,945","47,792","50,020"
Butte,"55,937","53,962","56,847"
Calaveras,"56,645","55,582","58,425"
Colusa,"59,056","55,572","58,303"
Contra Costa,"94,437","97,061","103,218"
Del Norte,"44,626","43,820","47,141"
El Dorado,"79,332","79,567","84,533"
Fresno,"51,977","50,440","52,728"
Glenn,"52,296","51,112","53,013"
Humboldt,"53,997","53,540","57,264"
Imperial,"48,487","45,622","47,991"
Inyo,"61,080","59,323","64,246"
Kern,"46,934","44,595","47,350"
Kings,"43,867","42,565","43,994"
Lake,"46,918","45,403","48,198"
Lassen,"40,835","41,087","43,736"
Los Angeles,"73,343","74,378","78,302"
Madera,"47,871","45,181","46,709"
Marin,"164,340","168,814","180,575"
Mariposa,"60,465","60,943","65,423"
Mendocino,"56,305","55,104","59,050"
Merced,"47,854","45,918","46,654"
Modoc,"55,635","57,888","60,674"
Mono,"63,295","65,921","70,699"
Monterey,"64,975","65,331","68,943"
Napa,"87,015","89,219","94,973"
Nevada,"70,364","71,115","75,539"
Orange,"81,505","84,109","88,897"
Placer,"79,424","80,052","85,265"
Plumas,"58,564","59,805","64,856"
Riverside,"51,558","50,995","53,750"
Sacramento,"61,752","61,965","65,104"
San Benito,"62,228","62,275","66,310"
San Bernardino,"49,741","48,683","51,194"
San Diego,"73,084","74,476","79,122"
San Francisco,"160,155","155,190","164,807"
San Joaquin,"55,952","56,363","59,361"
San Luis Obispo,"68,378","68,364","72,721"
San Mateo,"173,524","162,863","172,828"
Santa Barbara,"76,392","77,419","82,736"
Santa Clara,"143,938","142,708","151,003"
Santa Cruz,"88,329","83,277","88,581"
Shasta,"54,385","54,099","57,637"
Sierra,"47,419","50,451","53,251"
Siskiyou,"52,624","51,657","55,052"
Solano,"59,755","61,019","64,514"
Sonoma,"78,100","78,660","83,408"
Stanislaus,"52,389","51,092","53,058"
